City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
416,Bukoba,TZ,72.73,scattered clouds,-1.3317,31.8122,Elct Bukoba Hotel and Tours
417,Jawhar,SO,76.87,scattered clouds,2.7809,45.5005,hantiwadaag village part one
419,Kjollefjord,NO,62.42,clear sky,70.9457,27.3465,Hotel Nordkyn
420,Tumen,CN,67.28,overcast clouds,42.9661,129.8425,Friendship Hotel
421,Puerto Baquerizo Moreno,EC,74.39,broken clouds,-0.9,-89.6,Hotel los Algarrobos
423,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
424,Marsh Harbour,BS,84.49,clear sky,26.5412,-77.0636,Abaco Beach Resort
425,Barra,BR,82.89,clear sky,-11.0894,-43.1417,Motel Albatroz
426,Ponferrada,ES,73.81,few clouds,42.5466,-6.5962,Hotel Temple Ponferrada
428,Zapolyarnyy,RU,70.88,few clouds,69.4154,30.8136,Pechenga
429,Ruteng,ID,61.18,overcast clouds,-8.6136,120.4721,Hotel FX72 Ruteng
431,Williams Lake,CA,56.77,broken clouds,52.1415,-122.1445,Stampeder Motel
432,Faya,SA,71.71,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
435,Prabumulih,ID,76.62,broken clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
436,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
438,Huilong,CN,83.03,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
439,Ejido,VE,83.7,broken clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
440,Nabire,ID,75.78,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
441,Maragogi,BR,76.84,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
443,Chinsali,ZM,70.21,clear sky,-10.5414,32.0816,Mwiluzi Motel Chinsali Ltd
444,Ucluelet,CA,59.09,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
445,Olenino,RU,68.13,overcast clouds,56.2092,33.4889,Kolos
448,Teknaf,BD,79.93,scattered clouds,20.8624,92.3058,Forestry Guesthouse
450,Atbasar,KZ,68.95,clear sky,51.8,68.3333,"The Ritz-Carlton, Astana"
452,Shizukuishi,JP,74.05,overcast clouds,39.6833,140.9833,Hotel Taikan
453,Coolum Beach,AU,54.07,clear sky,-26.5333,153.1,Palmer Coolum Resort
454,Eyl,SO,77.34,broken clouds,7.9803,49.8164,Amiin Hotel
456,Mahabad,IR,79.41,broken clouds,36.7631,45.7222,Afshar Hotel
457,Rawson,AR,53.02,clear sky,-43.3002,-65.1023,Hosteria Sampedro
458,Kalangala,UG,74.07,few clouds,-0.3089,32.225,Ssese Habitat Resort
460,Preobrazheniye,RU,69.06,broken clouds,42.9019,133.9064,Campsite Orlan
